"Time [ns]","Moving1.Position-45deg [deg]","L(Winding,Winding) [mH]"
0,-45,16.5445189716245
50000,-44.9787546311741,16.5489997413382
100000,-44.9150239993072,16.5624605845467
150000,-44.8088228340174,16.5849474950609
200000,-44.6601701822409,16.6165492414733
250000,-44.4690825485111,16.6574057736348
300000,-44.235568707145,16.707715554248
350000,-43.9596342964213,16.7677743679992
400000,-43.6412985829781,16.8377366899796
450000,-43.2805865802576,16.9175451782767
500000,-42.8775030690245,17.0079421431251
550000,-42.4320810017832,17.1066612236529
600000,-41.9443872820779,17.2058946820675
650000,-41.4145557820407,17.3156096634453
700000,-40.8427667142176,17.435154987977
750000,-40.2291671636819,17.5662021242846
800000,-39.5738082120623,17.7048386203922
850000,-38.8767306395472,17.8531930605372
900000,-38.1379740077157,18.0139307263011
950000,-37.3575829244777,18.183628199594
1000000,-36.5356975025033,18.349227749827
1050000,-35.6725616959139,18.5267749382364
1100000,-34.7683596732833,18.7162080437167
1150000,-33.8231593257928,18.9135353757033
1200000,-32.8370702311708,19.1250626941381
1250000,-31.8102233044396,19.3345144251584
1300000,-30.7428075496564,19.5493864163374
1350000,-29.6350435135349,19.7765876734597
1400000,-28.4870643987803,20.0132947905935
1450000,-27.2990312241832,20.2614704287402
1500000,-26.0711697208839,20.5036790494826
1550000,-24.8036818927029,20.7580955311436
1600000,-23.4967686614926,21.0213431547645
1650000,-22.1506573759689,21.2950822092071
1700000,-20.7656564241292,21.562323332219
1750000,-19.3421047963657,21.8396772049568
1800000,-17.8803157749636,22.1296008612538
1850000,-16.3806836250579,22.4142512236709
1900000,-14.8438277181913,22.7020546915688
1950000,-13.2703815378308,22.9955837994052
2000000,-11.6610750000586,23.2883976993284
2050000,-10.0170533164007,23.5705057170482
2100000,-8.33979945935549,23.8479456988394
2150000,-6.63119071663822,24.1143278518329
2200000,-4.89434387086591,24.3430264268861
2250000,-3.13434213988834,24.5280721967729
2300000,-1.35869305201763,24.6308557762264
2350000,0.423356148442224,24.6445728561378
2400000,2.20215767782494,24.5804403686073
2450000,3.96779334391112,24.4152259323252
2500000,5.7124486837999,24.206967225046
2550000,7.43108021233194,23.9693149538705
2600000,9.12033639368573,23.6894330147594
2650000,10.7775331602506,23.4137643176762
2700000,12.4006854877285,23.1367272911525
2750000,13.9883024492358,22.8348696463159
2800000,15.539364079972,22.5476600122928
2850000,17.0531414180617,22.2656452276784
2900000,18.5288860451897,21.9756511377962
2950000,19.9660917663193,21.6960583527932
3000000,21.364359233777,21.4224349187454
3050000,22.7233439735645,21.1570272056863
3100000,24.0428515576232,20.8857141967814
3150000,25.322644811925,20.6297853620404
3200000,26.5624625779181,20.3827179245049
3250000,27.7620130997344,20.1425184414578
3300000,28.9211518559538,19.8971503929844
3350000,30.0397022723593,19.6697618963238
3400000,31.1174766906208,19.4479771069228
3450000,32.1544238985353,19.2425265808603
3500000,33.150372161093,19.0314246242406
3550000,34.105077345669,18.8264342463607
3600000,35.018398314353,18.6383316200475
3650000,35.8901678291963,18.4554662605343
3700000,36.7203580051848,18.284684478046
3750000,37.5087516395221,18.1256729616205
3800000,38.2552768238747,17.9605204471703
3850000,38.9596898869991,17.8077072163666
3900000,39.6219386493196,17.6669546662192
3950000,40.2420141205256,17.5357530013292
4000000,40.8198696282526,17.4126768600571
4050000,41.3554599193916,17.3000681219602
4100000,41.8485748905803,17.1972606057457
4150000,42.2990388132113,17.105015210509
4200000,42.7068300367846,17.0175034903649
4250000,43.0718893968686,16.9351968293166
4300000,43.3940782588707,16.8633210769387
4350000,43.6733428847011,16.8019950558649
4400000,43.9097049037978,16.7500921930973
4450000,44.1031788996752,16.7078360828151
4500000,44.2537800453883,16.675206342401
4550000,44.3615250296015,16.6519792499465
4600000,44.426422912956,16.6380317307757
4650000,44.448475837499,16.6332991871021
4700000,44.4276837694084,16.6377610582989
4750000,44.3640467518187,16.6514367109503
4800000,44.2575627726791,16.6743893073571
4850000,44.108223029308,16.7067398232127
4900000,43.9160109516237,16.7487078404783
4950000,43.6809113374517,16.8003473079236
5000000,43.4029104034614,16.861366273913
5050000,43.0819852366288,16.9329304740852
5100000,42.7181862729012,17.0149363047943
5150000,42.3116507241707,17.1024525534638
5200000,41.8624439274381,17.1943970011389
5250000,41.3705836631476,17.296890685002
5300000,40.836241325012,17.4092181150786
5350000,40.2596297163204,17.5319678162742
5400000,39.6408007759128,17.6629969931159
5449999.99999999,38.9797963080528,17.803365925084
5499999.99999999,38.2766267758138,17.9558456784747
5549999.99999999,37.5313401923604,18.1206509660642
5599999.99999999,36.7441714297209,18.2798317429097
5649999.99999999,35.9151966662184,18.4502792546871
5699999.99999999,35.0446373954356,18.6327575265089
