"Time [ns]","Moving1.Position-45deg [deg]","Moving1.Torque [mNewtonMeter]"
0,-45,55.3922451505645
50000,-44.9787546311741,55.3847448428932
100000,-44.9150239993072,55.3644264643764
150000,-44.8088228340174,55.337993558391
200000,-44.6601701822409,55.3150692222602
250000,-44.4690825485111,55.3041103642908
300000,-44.235568707145,55.3022423970856
350000,-43.9596342964213,55.2765737031262
400000,-43.6412985829781,55.2304237224276
450000,-43.2805865802576,55.2450513680948
500000,-42.8775030690245,55.1952983353282
550000,-42.4320810017832,55.1219470046603
600000,-41.9443872820779,54.9418237519247
650000,-41.4145557820407,54.6885961417276
700000,-40.8427667142176,54.4721094278963
750000,-40.2291671636819,54.4408678032311
800000,-39.5738082120623,54.3827894647785
850000,-38.8767306395472,54.3273849195836
900000,-38.1379740077157,54.2976531858597
950000,-37.3575829244777,54.1230868755758
1000000,-36.5356975025033,53.7552019457561
1050000,-35.6725616959139,53.493237088573
1100000,-34.7683596732833,53.4685192309488
1150000,-33.8231593257928,53.2983491724226
1200000,-32.8370702311708,53.1466923713796
1250000,-31.8102233044396,52.8995465180061
1300000,-30.7428075496564,52.561504108884
1350000,-29.6350435135349,52.4358281868166
1400000,-28.4870643987803,52.2347382100431
1450000,-27.2990312241832,51.9053763106493
1500000,-26.0711697208839,51.6583728268652
1550000,-24.8036818927029,51.3957892532458
1600000,-23.4967686614926,51.1216301664581
1650000,-22.1506573759689,50.7026572698423
1700000,-20.7656564241292,50.240671792035
1750000,-19.3421047963657,49.8561958575076
1800000,-17.8803157749636,49.4057685789929
1850000,-16.3806836250579,48.5082351708293
1900000,-14.8438277181913,47.7044228758093
1950000,-13.2703815378308,46.8624567809124
2000000,-11.6610750000586,45.3251435073883
2050000,-10.0170533164007,43.359167133782
2100000,-8.33979945935549,41.1614154250822
2150000,-6.63119071663822,37.235317988274
2200000,-4.89434387086591,30.7597521037757
2250000,-3.13434213988834,20.8300637316706
2300000,-1.35869305201763,8.30475118539768
2350000,0.423356148442224,-3.99101476291122
2400000,2.20215767782494,-17.7421348350228
2450000,3.96779334391112,-28.0163674693913
2500000,5.7124486837999,-34.2886171923803
2550000,7.43108021233194,-38.3726684240149
2600000,9.12033639368573,-41.978027646262
2650000,10.7775331602506,-44.4657953065772
2700000,12.4006854877285,-46.4351005853192
2750000,13.9883024492358,-47.7312969778555
2800000,15.539364079972,-48.5547927852898
2850000,17.0531414180617,-49.6661398439395
2900000,18.5288860451897,-50.250959733245
2950000,19.9660917663193,-50.7595038370178
3000000,21.364359233777,-51.263978716858
3050000,22.7233439735645,-51.4318154979133
3100000,24.0428515576232,-51.7766995837562
3150000,25.322644811925,-52.0843672977954
3200000,26.5624625779181,-52.5514465529925
3250000,27.7620130997344,-52.6574108790144
3300000,28.9211518559538,-52.896838965299
3350000,30.0397022723593,-53.2142257533038
